x;Dataset_1;Dataset_2;Dataset_3;Dataset_4
92;660,4521073;270,3442699;421,2007918;221,6279773
93;610,7750776;248,7622567;399,8682872;145,6572343
94;460,340791;182,4192404;333,743629;-75,8811686
95;530,388812;214,0883609;365,6001347;21,02967287
96;656,5303926;270,7079523;422,3763111;198,9435449
97;798,5555766;334,406923;486,201235;399,7835996
98;612,5266261;252,324056;404,2138535;126,7550821
99;605,9193777;250,0041679;401,9591427;112,8828455
100;623,7132482;258,5492214;410,5392214;134,2524696
101;637,1464502;265,1762001;417,1712249;149,3233503
102;625,994667;260,8965187;412,8667162;128,8867857
103;691,005783;290,4870146;442,4026772;218,4716976
104;504,558561;208,3382493;360,1698104;-55,14838971
105;554,7083378;231,3637057;383,0817363;12,9995435
106;511,8922273;213,0909899;364,6661956;-53,11558276
107;420,249234;173,1374373;324,5406547;-189,7332286
108;615,1587169;260,5605409;411,7627347;87,58765778
109;696,8370367;297,678683;448,6509434;201,3860197
110;622,6711273;265,5527233;416,2662625;90,11385061
111;500,0400137;211,9066728;362,3328229;-91,12161351
112;670,0302605;288,3345602;438,44477;150,3644207
113;494,7648502;211,335489;361,1013215;-106,8017608
114;593,459975;256,1166556;405,5097856;31,80743055
115;590,6967716;255,8252318;404,8174436;23,92450339
116;649,2885988;282,8227106;431,3858951;104,7285093
117;652,9963486;285,447266;433,5534191;106,3227146
118;589,6146629;258,2742946;405,8955143;11,08135755
119;642,3304691;282,7202085;429,8286931;83,61197756
120;624,0540989;275,6340439;422,2020899;53,6781428
121;610,6325365;270,7255718;416,7255718;30,84080823
122;687,1783018;305,8225786;451,2270193;138,0444804
123;762,029937;340,1866387;484,9680989;242,8934757
124;711,3881466;318,7958429;462,926992;166,5707896
125;800,366042;359,4782409;502,9318364;292,0217829
126;597,9081597;270,6536265;413,402513;-3,385013737
127;806,9543638;364,7397172;506,756824;295,712181
128;707,4493376;321,7119278;462,9702678;149,2376654
129;600,9602674;275,6001189;416,0727865;-7,2073137
130;759,6458028;347,3636901;487,0238602;219,4994929
131;818,4726176;374,7656078;513,5865335;302,0919254
132;676,9589453;313,147309;451,1023207;95,43385429
133;650,8764608;302,8517603;439,9142641;55,6441211
134;760,748782;353,0005698;489,1440459;212,3721517
135;746,3526601;347,93896;483,1369616;189,7441201
136;824,6279682;384,0846525;518,3108041;301,1218207
137;641,1899198;303,9332977;437,1612941;34,62031752
138;566,5259913;272,1459961;404,3496011;-74,60761257
139;754,4901273;357,1022788;488,2553237;195,675706
140;728,9006834;347,1658593;477,242242;157,6565427
141;817,752767;388,1123409;517,0860244;285,1098079
142;747,3849246;358,3144109;486,1594224;182,7509355
143;667,3677147;324,2478732;450,9383029;66,63048783
144;664,5452306;324,5101025;450,0201025;62,19413315
145;642,3773202;316,1943645;440,4981477;29,9991847
146;761,0489636;370,4939838;493,5658228;201,4281474
147;766,3173548;374,4121577;496,2263838;209,2456124
148;865,9655428;420,2969079;540,8279103;353,5868507
149;781,1562005;384,2205335;503,4427582;231,691034
150;849,0410755;416,0282558;533,9162043;330,5593313
151;776,8816503;385,6140668;502,1422959;227,3514172
152;696,6190681;351,6184747;466,7615949;112,6531428
153;722,4457444;364,7936642;478,5263392;151,4133086
154;757,7721903;382,2109735;494,5079193;204,1179637
155;820,7710892;411,9471507;522,7831347;297,0207399
156;836,4877362;420,6889939;530,0388338;321,8579301
157;809,1694535;410,3242016;518,162765;284,7687551
158;780,1108463;399,2059317;505,5081353;245,405178
159;702,8417185;366,6807638;471,4215723;136,6477823
160;772,705803;399,5681347;502,7225603;240,6639377
161;857,6228841;439,1657262;540,7088279;366,6753103
162;820,1753009;424,3990226;524,3059051;316,1939236
163;886,5625493;455,801133;554,0469464;415,9565823
164;779,1759461;409,9904205;506,5503595;264,9771666
165;643,0496069;351,426492;446,2757951;72,75359885
166;898,3642565;466,8563362;559,9702853;446,2177927
167;796,9325044;423,7522242;515,1061435;304,6588286
168;870,5824861;458,482216;548,0514719;416,2771021
169;921,0704253;482,9379668;570,6979668;494,7246922
170;739,4736967;404,2649763;490,1911687;238,2286731
171;733,7503254;403,7779224;487,8457956;236,0659478
172;817,3000948;442,9878199;525,1729019;363,1515147
173;750,3120403;415,3120179;495,5898755;273,0959583
174;773,7647464;427,8521095;506,1983479;313,983656
175;793,2008208;438,6270315;515,0172937;349,3803523
176;822,2496143;453,694273;528,1042395;398,9770873
177;895,7678881;488,5457281;560,9511159;513,1267162
178;743,840633;423,2191702;493,5957328;301,9562032
179;795,3203356;448,3157047;516,6392311;384,9233403
180;891,7887982;493,4272436;559,6735582;533,2060418
181;873,1152193;487,3845419;551,5295038;515,5084612
182;902,1459569;502,5637586;564,5832612;567,0573155
183;815,2778649;466,2523844;526,1223547;451,5411492
184;698,9193887;416,8541728;474,5505714;293,7763615
185;918,8334306;516,9304136;572,429234;622,0913442
186;891,2258105;507,0170269;560,2942947;593,2320373
187;862,4650689;496,6111417;547,642915;563,0683107
188;861,7491414;498,6896184;547,4519864;573,7791598
189;838,7938398;490,9039288;537,3730122;552,7360686
190;816,4118432;483,3930414;527,5449915;532,8948846
191;822,788455;488,6837578;530,4947562;554,9719128
192;945,5953297;545,7412577;585,1875161;745,6081874
193;767,4600695;469,0666975;506,1244571;501,936667
194;850,9636176;508,6960523;543,3415834;636,5784699
195;874,4380547;521,6658021;553,8754038;684,9063568
196;1047,275026;601,0389005;630,7889005;949,3791267
197;826,1967625;505,3585611;532,625315;645,2664236
198;735,9773035;467,8576904;492,6175816;530,5793939
199;806,9701609;502,0267382;524,2561773;649,166199
200;1056,220608;615,4413812;635,1168061;1025,651989
201;996,5826488;591,5922884;608,6901635;956,3856372
